0,"Characterization of Fer1L5, a novel dysferlin myoferlin related protein",2009,UK Ramachandran,not found,etheses.dur.ac.uk,http://etheses.dur.ac.uk/2046/
1,Characterization of Fer1L6 in the mouse C2C12 cell line,2015,JT Huegel,not found,ir.library.oregonstate.edu,https://ir.library.oregonstate.edu/concern/honors_college_theses/tb09j752q
2,[HTML][HTML] Expression of myoferlin in human airway epithelium and its role in cell adhesion and zonula occludens-1 expression,2012,C Leung,not found,journals.plos.org,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0040478
3,[HTML][HTML] Dysferlinopathies,2008,JA Urtizberea,not found,neurologyindia.com,https://neurologyindia.com/article.asp?issn=0028-3886;year=2008;volume=56;issue=3;spage=289;epage=297;aulast=Urtizberea
4,The role of genetics in bipolar disorder,2020,C Fabbri,not found,Springer,https://link.springer.com/chapter/10.1007/7854_2020_153
5,Modeling and gene therapy of dysferlinopathy.,2013,IG Starostina,not found,search.ebscohost.com,https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=1815445X&AN=99384772&h=Q1cKAQYCStdqxFAFRiohLL3SHCgv2jOttzdQjTI1QJcNEgRXXH5PuXG1tuNqoqMGgl3D3pc63Gwb3bwjVwv1Ag%3D%3D&crl=c
6,"[HTML][HTML] Дисферлинопатии: возможности диагностики, моделирования и генно-клеточной терапии",2013,ИГ Старостина,not found,cyberleninka.ru,https://cyberleninka.ru/article/n/disferlinopatii-vozmozhnosti-diagnostiki-modelirovaniya-i-genno-kletochnoy-terapii
7,[PDF][PDF] María Mirta Rodríguez'and Corrado Angelini',no idea,L Vernengo,not found,researchgate.net,https://www.researchgate.net/profile/Corrado-Angelini/publication/287378948_Dysferlinopathies/links/60c0ac2e4585157774bf44b7/Dysferlinopathies.pdf
8,Dysferlinopathies.,2008,UJ Andoni,not found,search.ebscohost.com,https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=00283886&asa=Y&AN=35246916&h=OBMQ3mBYmnutYsj5mX1HSjww0kYcbmEse7ilJlisElY282fxuMLhU3K0aj1sAO16agAiBwmZNFy1sHZS5LG6Sg%3D%3D&crl=c
9,Membrane repair: mechanisms and pathophysiology,2015,ST Cooper,not found,journals.physiology.org,https://journals.physiology.org/doi/abs/10.1152/physrev.00037.2014
